metric,group_0,group_1,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,p_value_mannwhitney,p_value_ttest_welch,auc_raw,auc_corrected,auc_direction,best_threshold,threshold_rule,sensitivity,specificity,youden_index,accuracy,balanced_accuracy,separability
PI,CTRL,POAG,260,241,1.0177339294217616,1.271494322926619,0.9515416457130028,1.1666004213996557,1.3392205238806096e-10,8.891736527201804e-10,0.6659591445898501,0.6659591445898501,POAG > CTRL,1.4601000285564112,predict POAG if PI >= threshold,0.3278008298755187,0.9307692307692308,0.2585700606447494,0.6407185628742516,0.6292850303223747,0.5590074336134822
W50_over_T,CTRL,POAG,260,241,0.7248002518315019,0.6293560360477178,0.6927083333333334,0.6002604166666666,3.490176889859211e-10,5.694538576910834e-10,0.33787105011171403,0.662128949888286,CTRL > POAG,0.603515625,predict POAG if W50_over_T <= threshold,0.5145228215767634,0.7346153846153847,0.24913820619214805,0.6287425149700598,0.624569103096074,-0.5660073087869137
E_slope,CTRL,POAG,260,241,21.003613292953027,24.168214422427216,12.72149539462897,19.998875577360206,6.8023102187372406e-09,0.5242669140434025,0.6497606128311522,0.6497606128311522,POAG > CTRL,19.519534675064506,predict POAG if E_slope >= threshold,0.5145228215767634,0.7346153846153847,0.24913820619214805,0.6287425149700598,0.624569103096074,0.05601706143777217
slope_fall_normalized,CTRL,POAG,260,241,6.723160851113403,8.363608066889467,5.907264867647666,7.226785779511183,1.0211715195151846e-08,0.0010426891981323632,0.6479891477816789,0.6479891477816789,POAG > CTRL,7.202545488172324,predict POAG if slope_fall_normalized >= threshold,0.5103734439834025,0.7692307692307692,0.27960421321417167,0.6447105788423154,0.6398021066070858,0.2925596638459957
w_d,CTRL,POAG,260,241,0.47002893013687225,0.45211679546244055,0.47425923227175726,0.46549751609689466,1.0981929760614099e-08,4.3835328782535935e-09,0.35233003511011807,0.6476699648898819,CTRL > POAG,0.4412655708135295,predict POAG if w_d <= threshold,0.29045643153526973,0.95,0.24045643153526974,0.6327345309381237,0.6202282157676349,-0.5396840727509221
crest_factor,CTRL,POAG,260,241,1.4852982043004606,1.5716085721119144,1.4642218823200208,1.5405951143307923,4.541714289243029e-08,3.538587341649857e-07,0.6413022661985317,0.6413022661985317,POAG > CTRL,1.6315355553626716,predict POAG if crest_factor >= threshold,0.3651452282157676,0.8615384615384616,0.22668368975422915,0.6227544910179641,0.6133418448771146,0.46134424843825783
t_up_over_T,CTRL,POAG,260,241,0.9603611850389194,0.9510665197095436,0.9791666666666666,0.9765625,1.8025725299064864e-07,0.21446063827404852,0.3653526970954357,0.6346473029045643,CTRL > POAG,0.978125,predict POAG if t_up_over_T <= threshold,0.6307053941908713,0.5961538461538461,0.2268592403447175,0.6127744510978044,0.6134296201723588,-0.1114697683472216
slope_rise_normalized,CTRL,POAG,260,241,14.45229520396336,16.650552903386032,13.650659423155458,16.4621928973344,4.768404418368831e-07,0.00012477545258678284,0.6301149058410469,0.6301149058410469,POAG > CTRL,16.056752312531287,predict POAG if slope_rise_normalized >= threshold,0.5311203319502075,0.7307692307692308,0.26188956271943825,0.6347305389221557,0.6309447813597191,0.3441033425462054
Delta_t_over_T,CTRL,POAG,260,241,0.8000898938301283,0.7753752269190872,0.8203125,0.7890625,9.810479562748032e-07,6.0137619194950654e-05,0.37350781998084903,0.626492180019151,CTRL > POAG,0.810546875,predict POAG if Delta_t_over_T <= threshold,0.6887966804979253,0.573076923076923,0.2618736035748484,0.6287425149700598,0.6309368017874242,-0.36290598059749
t_max_over_T,CTRL,POAG,260,241,0.0673541237408425,0.059734288554633475,0.04296875,0.037109375,4.257892800615999e-06,0.13785761050759368,0.38121608681774655,0.6187839131822535,CTRL > POAG,0.0361328125,predict POAG if t_max_over_T <= threshold,0.46473029045643155,0.7576923076923077,0.22242259814873924,0.6167664670658682,0.6112112990743697,-0.13328500058136583
W80_over_T,CTRL,POAG,260,241,0.29585740756639195,0.27405423366182574,0.2876302083333333,0.2786458333333333,0.004005287550269428,0.0022200433966432153,0.42563836578359404,0.574361634216406,CTRL > POAG,0.255859375,predict POAG if W80_over_T <= threshold,0.4024896265560166,0.7461538461538462,0.14864347270986278,0.5808383233532934,0.5743217363549313,-0.2746104667371394
t_phi_over_T,CTRL,POAG,260,241,0.018050609219345707,0.020586140768156833,0.016756254342403108,0.020226416371145552,0.036467407171091065,0.14536932245436462,0.5540536227258219,0.5540536227258219,POAG > CTRL,0.01868827510362803,predict POAG if t_phi_over_T >= threshold,0.5767634854771784,0.5538461538461539,0.1306096393233322,0.564870259481038,0.5653048196616661,0.13037830692760435
N_h_over_H_minus_1,CTRL,POAG,260,241,0.4005396807520252,0.39977006325355485,0.3955888961651092,0.3904319102116128,0.2927217916580498,0.8909465727006385,0.4728056176188956,0.5271943823811044,CTRL > POAG,0.3866105162477612,predict POAG if N_h_over_H_minus_1 <= threshold,0.4854771784232365,0.6038461538461539,0.08932333226939038,0.5469061876247505,0.5446616661346951,-0.012285307811814833
rho_h,CTRL,POAG,260,241,0.27875009684077434,0.2802760353481188,0.27796626597043744,0.2705923408852629,0.34229554620944513,0.7656568551446643,0.47545483562081076,0.5245451643791892,CTRL > POAG,0.2748607322830999,predict POAG if rho_h <= threshold,0.5809128630705395,0.5423076923076924,0.12322055537823179,0.5608782435129741,0.5616102776891159,0.026721516607413766
t_down_over_T,CTRL,POAG,260,241,0.29104470724587916,0.28887664246196404,0.2838541666666667,0.28515625,0.3843082713565117,0.8288158771026378,0.4775135652729014,0.5224864347270985,CTRL > POAG,0.22395833333333334,predict POAG if t_down_over_T <= threshold,0.26141078838174275,0.8730769230769231,0.13448771145866584,0.5788423153692615,0.5672438557293329,-0.019451085056655878
eta_h,CTRL,POAG,260,241,0.9986603561772129,0.9981573135978041,0.9992428854177444,0.9991990269048665,0.47847639807659836,0.18396960443637728,0.48167890201085223,0.5183210979891477,CTRL > POAG,0.998433311249818,predict POAG if eta_h <= threshold,0.26556016597510373,0.8346153846153846,0.10017555059048835,0.5608782435129741,0.5500877752952442,-0.12038750536383651
sigma_t_over_T,CTRL,POAG,260,241,0.2875957400587722,0.28792089379324043,0.2868122243237181,0.28707875975709485,0.517238715634388,0.5679890017824225,0.5167411426747526,0.5167411426747526,POAG > CTRL,0.2916968892473421,predict POAG if sigma_t_over_T >= threshold,0.16597510373443983,0.9423076923076923,0.10828279604213213,0.5688622754491018,0.5541413980210661,0.050788730155919386
w_h,CTRL,POAG,260,241,0.17727160100861505,0.17947758978553036,0.1819265444795449,0.17523594201263146,0.5563221228173105,0.5633871561872389,0.48479093520587296,0.515209064794127,CTRL > POAG,0.18826125266261134,predict POAG if w_h <= threshold,0.6680497925311203,0.43846153846153846,0.10651133099265875,0.5489021956087824,0.5532556654963294,0.05170259382402788
D_phi,CTRL,POAG,260,241,0.4261579503213392,0.4325720966685008,0.42667490923505613,0.4383857635276758,0.6183881784840882,0.5006204375070047,0.512879029684009,0.512879029684009,POAG > CTRL,0.34026125003574487,predict POAG if D_phi >= threshold,0.8381742738589212,0.2384615384615385,0.07663581232045968,0.5269461077844312,0.5383179061602298,0.06008042439725619
s_phi_over_T,CTRL,POAG,260,241,0.06747004320410595,0.0676622811359269,0.06887303446198492,0.07041274821296177,0.6456299106738671,0.8839762676952123,0.5118895627194382,0.5118895627194382,POAG > CTRL,0.07128752219169997,predict POAG if s_phi_over_T >= threshold,0.4730290456431535,0.6,0.07302904564315349,0.5389221556886228,0.5365145228215767,0.01305503433978356
